category,feature,mean_abs_shap
CSD,lag_1,1.318953514099121
CSD,weighted_distribution,1.1459972858428955
CSD,rolling_mean_13,0.38153332471847534
CSD,rolling_mean_4,0.15175019204616547
CSD,lag_3,0.1481454223394394
CSD,lag_2,0.11828336119651794
CSD,promo_intensity,0.10043670237064362
CSD,holiday_month,0.07172506302595139
CSD,month,0.06182486191391945
CSD,lag_13,0.05912339687347412
CSD,lag_4,0.05379132553935051
CSD,rolling_std_4,0.04665001481771469
CSD,lag_8,0.044708501547575
CSD,quarter,0.00596525939181447
danskvand,lag_1,1.3444310426712036
danskvand,weighted_distribution,0.6071820855140686
danskvand,lag_8,0.2494686096906662
danskvand,rolling_mean_13,0.24388620257377625
danskvand,rolling_mean_4,0.20242464542388916
danskvand,lag_3,0.12701457738876343
danskvand,month,0.11938268691301346
danskvand,rolling_std_4,0.10479052364826202
danskvand,lag_13,0.09996478259563446
danskvand,lag_4,0.052933529019355774
danskvand,lag_2,0.04892413318157196
danskvand,holiday_month,0.0389329232275486
danskvand,quarter,0.012844238430261612
danskvand,promo_intensity,0.0
energidrikke,lag_1,1.428310751914978
energidrikke,weighted_distribution,1.1498464345932007
energidrikke,rolling_mean_4,0.349890798330307
energidrikke,rolling_mean_13,0.21283484995365143
energidrikke,lag_8,0.17180615663528442
energidrikke,lag_3,0.10606175661087036
energidrikke,lag_2,0.09777975082397461
energidrikke,month,0.09594408422708511
energidrikke,promo_intensity,0.07814246416091919
energidrikke,lag_13,0.0672459751367569
energidrikke,holiday_month,0.05471343919634819
energidrikke,rolling_std_4,0.05083690211176872
energidrikke,lag_4,0.03803778067231178
energidrikke,quarter,0.01418591383844614
RTD,lag_1,1.4641302824020386
RTD,weighted_distribution,0.7600379586219788
RTD,rolling_mean_4,0.38336217403411865
RTD,rolling_mean_13,0.3526870012283325
RTD,lag_2,0.2216957062482834
RTD,holiday_month,0.13074541091918945
RTD,month,0.09861013293266296
RTD,lag_13,0.0783543661236763
RTD,lag_4,0.07552890479564667
RTD,lag_8,0.06493370980024338
RTD,rolling_std_4,0.05798179656267166
RTD,lag_3,0.046573203057050705
RTD,quarter,0.01741410605609417
RTD,promo_intensity,0.0
