category,system,accuracy,calibration,actionability,relevance,clarity
CSD,LLM,3,4,5,4,5
CSD,baseline,3,3,2,3,3
CSD,LLM,3,2,4,3,4
CSD,baseline,4,4,3,4,4
CSD,LLM,3,4,5,4,5
CSD,baseline,3,3,2,3,3
CSD,LLM,2,3,3,3,4
CSD,baseline,3,3,2,3,3
CSD,LLM,3,4,5,4,5
CSD,baseline,4,4,3,4,4
CSD,LLM,3,4,4,4,4
CSD,baseline,3,3,2,3,3
CSD,LLM,4,4,5,5,5
CSD,baseline,3,3,2,3,3
CSD,LLM,3,4,4,4,5
CSD,baseline,3,4,2,3,4
CSD,LLM,3,4,4,4,5
CSD,baseline,3,3,2,3,3
CSD,LLM,2,3,4,4,4
CSD,baseline,3,3,2,3,3
CSD,LLM,3,4,4,4,4
CSD,baseline,3,3,2,3,3
CSD,LLM,3,4,4,4,4
CSD,baseline,4,4,2,3,4
CSD,LLM,3,4,4,4,4
CSD,baseline,4,4,2,3,4
CSD,LLM,3,4,3,4,4
CSD,baseline,4,4,2,3,4
CSD,LLM,3,3,4,4,4
CSD,baseline,4,4,2,4,4
CSD,LLM,3,4,3,4,4
CSD,baseline,4,4,2,4,4
CSD,LLM,3,4,4,4,4
CSD,baseline,4,4,2,3,4
CSD,LLM,3,4,4,4,4
CSD,baseline,3,3,2,3,3
RTD,LLM,4,5,5,4,5
RTD,baseline,3,3,2,3,3
RTD,LLM,3,4,4,4,4
RTD,baseline,3,3,2,3,3
RTD,LLM,3,4,4,4,5
RTD,baseline,3,3,2,3,3
RTD,LLM,3,4,4,4,4
RTD,baseline,3,3,2,3,3
RTD,LLM,3,4,4,4,5
RTD,baseline,4,4,2,4,3
RTD,LLM,3,4,4,4,5
RTD,baseline,4,4,2,4,4
RTD,LLM,3,4,4,4,4
RTD,baseline,3,3,2,3,3
danskvand,LLM,3,4,4,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,4,4,4,5
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,4,4,4,5
danskvand,baseline,3,3,2,3,4
danskvand,LLM,3,4,4,4,4
danskvand,baseline,4,4,2,4,4
danskvand,LLM,2,3,4,4,5
danskvand,baseline,4,4,2,4,4
danskvand,LLM,3,2,4,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,4,4,4,4
danskvand,baseline,4,4,2,3,4
danskvand,LLM,3,4,4,4,5
danskvand,baseline,3,4,2,3,4
danskvand,LLM,3,4,4,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,4,4,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,4,4,4,4
danskvand,baseline,4,4,3,4,4
danskvand,LLM,2,4,3,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,3,4,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,4,4,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,3,4,4,4
danskvand,baseline,4,4,3,4,4
danskvand,LLM,4,4,4,4,4
danskvand,baseline,4,4,3,4,4
danskvand,LLM,3,4,4,4,5
danskvand,baseline,4,4,2,4,4
danskvand,LLM,2,3,4,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,3,4,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,3,4,3,4,4
danskvand,baseline,3,3,2,3,3
danskvand,LLM,2,3,3,4,4
danskvand,baseline,3,3,2,3,3
energidrikke,LLM,4,4,4,4,4
energidrikke,baseline,4,4,2,3,4
energidrikke,LLM,4,4,5,5,5
energidrikke,baseline,4,4,3,4,4
energidrikke,LLM,3,4,4,4,5
energidrikke,baseline,4,4,2,3,4
energidrikke,LLM,2,3,4,4,4
energidrikke,baseline,4,4,3,4,4
