feature,mean_abs_shap,rank
lag_1,1.8766397312699763,1
rolling_mean_4,0.5152212861417215,2
weighted_dist,0.3580950405060111,3
rolling_mean_13,0.3401298120528611,4
brand_mean_sales,0.18571561005793472,5
channel_mean_sales,0.14720368771261594,6
month_cos,0.10461084149249898,7
lag_2,0.08113930910534926,8
lag_12,0.07935717920884341,9
brand_std_sales,0.07877006630098281,10
brand,0.0721942738598351,11
lag_3,0.06479924884820078,12
unit_price_lag_1,0.051161914523564694,13
month_sin,0.04564601442740695,14
rolling_std_4,0.045117772266509,15
months_since_start,0.04344861083335672,16
promo_intensity_lag_1,0.028541502024838534,17
brand_rank,0.01872599011248343,18
channel,0.016468940109014257,19
