brand,channel,date,system,n_bullets,specificity_rate,lever_diversity,context_mentions,word_count,latency_s
COCA COLA,DVH_EXCL_HD,2025-09-01,A,3,1.0,5,1,147,9.098264585016295
COCA COLA,DVH_EXCL_HD,2025-09-01,B,3,1.0,5,9,215,11.529429958027322
HARBOE,TOTAL_DISCOUNT,2025-10-01,A,3,1.0,5,2,171,9.379065875022206
HARBOE,TOTAL_DISCOUNT,2025-10-01,B,3,1.0,5,8,225,12.405599874968175
PEPSI,CONVENIENCE,2025-11-01,A,3,1.0,5,0,170,8.748574375058524
PEPSI,CONVENIENCE,2025-11-01,B,3,1.0,5,5,213,12.311065083020367
FAXE KONDI,DVH_EXCL_HD,2025-12-01,A,3,1.0,4,2,163,10.615617625997402
FAXE KONDI,DVH_EXCL_HD,2025-12-01,B,3,1.0,4,8,219,12.896562582056504
FANTA,TOTAL_DISCOUNT,2026-01-01,A,3,1.0,5,1,153,9.642082831996959
FANTA,TOTAL_DISCOUNT,2026-01-01,B,3,1.0,4,6,220,11.811419542005751
FEVER TREE,DVH_EXCL_HD,2025-10-01,A,3,1.0,3,0,149,8.20024125103373
FEVER TREE,DVH_EXCL_HD,2025-10-01,B,3,1.0,4,10,205,10.963257917028386
ULUDAG,TOTAL_DISCOUNT,2025-11-01,A,3,1.0,5,1,170,8.953904750931542
ULUDAG,TOTAL_DISCOUNT,2025-11-01,B,3,1.0,5,7,216,11.43969816697063
SAN PELLEGRINO,CONVENIENCE,2025-12-01,A,3,1.0,4,1,158,8.68531766696833
SAN PELLEGRINO,CONVENIENCE,2025-12-01,B,3,1.0,2,6,227,12.316351749061141
CARIBIA,DVH_EXCL_HD,2026-01-01,A,3,1.0,4,1,159,8.490304582985118
CARIBIA,DVH_EXCL_HD,2026-01-01,B,3,1.0,4,8,233,12.790196083020419
ORANGINA,TOTAL_DISCOUNT,2025-09-01,A,3,1.0,3,1,223,11.740663416974712
ORANGINA,TOTAL_DISCOUNT,2025-09-01,B,3,1.0,4,8,202,10.745781540928874
CHUPA CHUPS,DVH_EXCL_HD,2025-11-01,A,3,1.0,3,1,160,9.398939915990923
CHUPA CHUPS,DVH_EXCL_HD,2025-11-01,B,3,1.0,5,9,223,11.584735916985665
FRESH,TOTAL_DISCOUNT,2025-11-01,A,3,1.0,5,1,169,8.840013417007867
FRESH,TOTAL_DISCOUNT,2025-11-01,B,3,1.0,4,7,254,12.917193501023576
VIMTO,CONVENIENCE,2026-02-01,A,3,1.0,4,0,189,9.879785583005287
VIMTO,CONVENIENCE,2026-02-01,B,3,1.0,4,7,225,11.783649208955467
THE PERFECT MIXER,DVH_EXCL_HD,2025-11-01,A,3,1.0,3,0,176,9.981556165963411
THE PERFECT MIXER,DVH_EXCL_HD,2025-11-01,B,3,1.0,3,8,240,13.074660999060143
VIMTO,CONVENIENCE,2025-12-01,A,3,1.0,5,1,203,10.0281152499374
VIMTO,CONVENIENCE,2025-12-01,B,3,1.0,4,6,241,12.031212958041579
AYYO,CONVENIENCE,2025-09-01,A,3,1.0,3,2,156,10.353609666984994
AYYO,CONVENIENCE,2025-09-01,B,3,1.0,4,7,227,14.451685582927894
HANCOCK,TOTAL_DISCOUNT,2026-01-01,A,3,1.0,3,1,176,9.281943457957823
HANCOCK,TOTAL_DISCOUNT,2026-01-01,B,3,1.0,5,5,216,11.361751708085649
EBELTOFT,DVH_EXCL_HD,2025-12-01,A,3,1.0,3,1,167,8.017440958006773
EBELTOFT,DVH_EXCL_HD,2025-12-01,B,3,1.0,4,6,223,12.058320790936705
GUARANA ANARCTICA,TOTAL_DISCOUNT,2025-10-01,A,3,1.0,4,0,166,8.89580950094387
GUARANA ANARCTICA,TOTAL_DISCOUNT,2025-10-01,B,3,1.0,4,9,223,11.372800208977424
CARLSBERG SPORT,DVH_EXCL_HD,2026-03-01,A,3,1.0,3,0,182,11.799231958983
CARLSBERG SPORT,DVH_EXCL_HD,2026-03-01,B,3,1.0,5,6,250,14.808060084003955
