brand,channel,date,forecast,latency_A_s,latency_B_s,reco_A,reco_B
CHUPA CHUPS,DVH_EXCL_HD,2025-11-01,1001.8113983154296,9.398939915990923,11.584735916985665,"• Investigate and address the sharp volume decline signalled by lag_1 (SHAP=-1.16, prior month value=577.75 units) by auditing out-of-stock and shelf-availability issues in DVH_EXCL_HD by 15 October 2025 — the strongly negative lag_1 driver suggests recent sales momentum has collapsed, which is pulling the November forecast down to 1,002 units versus a 13-week rolling mean of 1,453 units.

• Restore weighted distribution to a minimum of 0.60 in DVH_EXCL_HD by 1 November 2025 — weighted_dist is a top-5 SHAP driver with a current value of 0.00, indicating a complete distribution gap in this channel that is actively suppressing forecast volume and must be resolved before the month begins.

• Launch a targeted promotional activation (e.g., multipack or impulse display) at 20–25% promoted volume share for November 2025 — rolling_mean_13 (value=1,453 units) confirms underlying demand potential is ~45% above the current 1,002-unit forecast, and with month_cos (SHAP=-0.18) flagging a seasonal headwind, a short-burst promo is needed to close the gap and defend baseline volume.","• Stabilise near-term volume by securing a focused promotional activation (e.g. multipack or impulse bundle) in the top-15 DVH_EXCL_HD doors by 2025-11-01 — the lag_1 SHAP of -1.16 on a prior value of only 578 units signals a sharp recent drop driving the forecast down, and with a -36.2% momentum decline the brand needs a short-cycle demand stimulus; at 0.7x category price, a value-tier brand has headroom to activate on price-linked mechanics without margin erosion, targeting a +15% volume uplift vs the 1,002-unit forecast baseline.

• Address the weighted_dist collapse (SHAP=-0.12, value=0.00) by re-establishing active distribution in at least 10 lapsed DVH_EXCL_HD outlets before 2025-10-15 — zero weighted distribution is a structural drag compounding the momentum decline; since DVH_EXCL_HD already represents 55% of brand volume, even partial distribution recovery in this channel has outsized impact, and re-listing at value price tier lowers the barrier for buyers to reinstate the SKU with minimal shelf-space commitment.

• Reduce assortment complexity to the 1-2 highest-velocity SKUs across DVH_EXCL_HD by 2025-10-01 to dampen volatility (CV=1.95) and concentrate sell-through — the rolling_mean_13 SHAP (-0.17, value=1,453) versus rolling_mean_4 (-0.37, value=1,101) confirms a sustained multi-month volume erosion, not a one-off dip; for a niche rank-#43 brand with high volatility, rationalising to core SKUs improves forecast reliability, reduces out-of-stock risk, and focuses retailer attention on proven movers rather than fragmenting a thin distribution base."
FRESH,TOTAL_DISCOUNT,2025-11-01,14182.597702103749,8.840013417007867,12.917193501023576,"• Protect volume floor by securing shelf space and distribution commitments for FRESH in TOTAL_DISCOUNT at current or +2pp weighted distribution by end of October 2025 — lag_1 is the dominant driver (SHAP=+1.37, prior month at 22,770 units), signalling strong carry-over momentum that must be sustained through guaranteed availability heading into November.

• Reduce promotional depth by ~10–15% for November 2025 versus recent months — rolling_mean_13 (SHAP=−0.45, value=16,811) is dragging the forecast below the brand_mean_sales benchmark of 24,821 units, suggesting the channel has been running elevated promo activity that is diluting baseline demand rather than building it; pulling back on discount frequency will help recover organic price positioning.

• Plan a targeted assortment review to align FRESH's SKU mix in TOTAL_DISCOUNT with the brand's stronger-performing formats by mid-October 2025 — brand_mean_sales (SHAP=+0.22, value=24,821) sits materially above the forecast of 14,183 units and the rolling_mean_4 (SHAP=+0.21, value=12,647), indicating that short-term channel execution is underperforming the brand's broader potential; rationalising to the top 2–3 volume-driving SKUs can close this gap before the November period.","• Investigate and address the root cause of FRESH's -45.8% volume decline in TOTAL_DISCOUNT before committing further investment: audit SKU ranging, shelf placement, and promotional frequency across discount stores by 15 October 2025 — the lag_1 SHAP of +1.37 confirms recent sales momentum is the dominant forecast driver, meaning the current depressed trajectory (lag_1=22,770 already down sharply from brand_mean_sales=24,821) will mechanically pull November's 14,183-unit forecast even lower if the decline continues; stabilising the baseline is the priority before any volume-building action.

• Run a targeted short-cycle price-promotion mechanic (e.g. multipack or 2-for-1) in the top-15 discount doors by 1 November 2025, aiming to lift 4-week rolling volume by at least 15% (~1,900 units) to counter the negative rolling_mean_13 drag (SHAP=-0.45, value=16,811) — FRESH's value price tier (0.7x category median) means promotional depth does not risk brand equity dilution as it would for a premium player, and discount shoppers in this peripheral channel (9% of brand volume) are highly responsive to price mechanics; a contained trial limits exposure given the brand's high volatility (CV=1.38).

• Cap incremental distribution investment in TOTAL_DISCOUNT at current levels through Q4 2025 and instead redirect trade spend toward FRESH's core channels where the remaining 91% of volume sits — with the discount channel peripheral and the brand volatile (CV=1.38), expanding distribution here carries high execution risk and low return; use the November forecast period as a performance gate: if the promotional mechanic above does not recover rolling_mean_4 above 15,000 units by end of November, initiate a formal channel de-prioritisation review in December 2025."
VIMTO,CONVENIENCE,2026-02-01,11.752412286540174,9.879785583005287,11.783649208955467,"• Investigate and address the distribution or ranging gap in Convenience by targeting a minimum of 3 additional SKU facings or outlet listings by January 2026 — lag_1 (SHAP=-3.44, value=15.60) is the dominant drag on the February 2026 forecast, indicating a sharp sequential volume decline from 15.60 units in the prior period to just 12 units; a ranging or availability issue is the most likely structural cause requiring urgent channel review.

• Negotiate a short-term promotional activation (e.g., 2-for-£X mechanic or retailer-funded feature) with Convenience buyers to run in January–February 2026, targeting a 20% volume uplift to ~14–15 units — rolling_mean_4 (SHAP=-0.80, value=15.79) confirms the recent 4-week average sits above the February forecast, meaning current sell-through is underperforming recent trend and a tactical promo can close that gap before the period closes.

• Review VIMTO's Convenience assortment against the broader channel benchmark and prioritise the top 1–2 highest-velocity SKUs for guaranteed availability by February 2026 — channel_mean_sales (SHAP=-0.31, value=46,055.96) versus brand_mean_sales (SHAP=-0.23, value=515.98) reveals a stark gap between VIMTO's Convenience volume and the channel norm, suggesting significant headroom that better assortment focus and retailer engagement could begin to close within this period.","• Protect and build on the +134% momentum spike by securing a minimum 2-facing placement in the top-10 highest-footfall Convenience doors by March 2026 — the forecast of only 12 units in February is being dragged down by a declining lag_1 (15.6 units prior period, SHAP=-3.44), suggesting a fragile recent dip rather than structural collapse; locking in shelf presence now prevents the momentum from evaporating before it compounds, critical given Convenience represents just 1% of brand volume and has genuine upside headroom.

• Introduce a single-unit impulse price-marked pack (PMP) at £1.29–£1.49 targeting the mid-market positioning (0.8x category median) in Convenience by February 2026 — the channel_mean_sales SHAP driver (46,055 units, SHAP=-0.31) shows VIMTO is significantly underperforming the channel baseline; a PMP removes price ambiguity at the fixture, which is the highest-ROI lever for a niche brand (rank #63) with low channel familiarity, without requiring a structural price cut that would erode mid-market credentials.

• Implement a 4-week sell-through review cadence from February 2026 to actively manage volatility (CV=3.13) — the rolling_mean_4 and rolling_mean_13 SHAP values (15.79 vs 7.95) indicate high short-term variance masking a longer-term low base; given the peripheral channel status, a single out-of-stock or overstock event disproportionately distorts the trend, so weekly replenishment triggers set at a 10-unit reorder threshold will stabilise the signal and prevent the forecast from anchoring on another low-volume lag period."
THE PERFECT MIXER,DVH_EXCL_HD,2025-11-01,29662.744140625,9.981556165963411,13.074660999060143,"• Investigate and address the October 2025 volume collapse (lag_1 = 8,409 units) by auditing DVH_EXCL_HD outlet compliance and restoring distribution weight from its critically low 0.02 to at least 0.15 by November 1, 2025 — weighted_dist is a top-2 SHAP driver (-0.30) and near-zero penetration is structurally suppressing the forecast to an anomalously low 29,663 units (z = -2.26), well below the brand's channel mean of 50,672 units.

• Reduce unit price by approximately 10–12% from the current 2.91 lag level (targeting ≤2.60) effective November 2025 — unit_price_lag_1 carries a -0.268 SHAP impact, confirming price elasticity is actively dragging volume in this channel, and a correction would partially offset the demand suppression compounding the low-lag signal.

• Cut promo intensity from its elevated 0.82 lag level to a targeted 0.50–0.55 for November 2025, redirecting spend toward distribution-building activation in DVH_EXCL_HD outlets — promo_intensity_lag_1 shows a negative SHAP contribution (-0.20), indicating current high promotional pressure is not converting to volume, suggesting misallocated spend that would be better deployed unlocking new points of distribution ahead of the December peak season.","• Investigate and address the weighted distribution collapse (SHAP=-0.30, value=0.02) by urgently restoring DVH_EXCL_HD listings to at least 15% weighted distribution by October 2025 — the near-zero distribution reading is almost certainly a structural execution failure rather than a strategic exit, and given DVH_EXCL_HD represents 65% of brand volume, even a partial recovery to prior distribution levels would materially reverse the anomalously low November forecast (z=-2.26) before the period locks in.

• Reduce unit price from 2.91 to approximately 2.50–2.60 (a 10–15% cut) via a temporary shelf price adjustment or retailer-funded promotion in DVH_EXCL_HD stores by late October 2025 — at 0.4x category median THE PERFECT MIXER is already a value-tier brand, yet elevated pricing relative to its own recent baseline is actively suppressing demand (unit_price_lag_1 SHAP=-0.27); for a value-positioned mid-tier brand in a core channel, price sensitivity is high and a modest correction is a low-risk lever to stimulate volume recovery ahead of November.

• Reduce promo intensity from the current 0.82 level by approximately 20–25pp (targeting ~0.60) while simultaneously improving base shelf presence in the top-10 DVH_EXCL_HD volume accounts by November 2025 — the high promo_intensity_lag_1 (SHAP=-0.20) suggests over-reliance on promotional mechanics that is eroding baseline demand signals and contributing to the -53.5% momentum decline; for a mid-tier value brand with moderate volatility (CV=0.40), rebalancing from deep promotional dependency toward stable everyday shelf presence will rebuild the brand_mean_sales anchor (currently supporting the forecast at SHAP=+0.15) and reduce forecast instability going forward."
VIMTO,CONVENIENCE,2025-12-01,7.159169164453824,10.0281152499374,12.031212958041579,"• Investigate and address the sharp volume decline driving lag_1 suppression by auditing VIMTO SKU availability in Convenience by 01 November 2025 — lag_1 is the dominant negative driver (SHAP=-3.69) with a value of 18.57 units in the prior period, signalling a steep recent drop that is pulling the December forecast down to just 7 units; confirm whether this reflects ranging cuts, out-of-stocks, or delisting and restore at least 2 additional facings or SKUs to stabilise the baseline.

• Implement a targeted in-store activation (e.g., shelf-edge promotion or bundled deal at 10–15% price reduction) in Convenience for the first two weeks of December 2025 — rolling_mean_4 (SHAP=-1.12, value=8.68) confirms sustained near-term weakness across the past 4 periods; a short-burst promotional mechanic timed to the pre-Christmas footfall uplift could recover 5–8 incremental units against the current 7-unit forecast without requiring a structural price change.

• Leverage the high channel_mean_sales benchmark (value=46,055.96, SHAP=-0.27) to negotiate a secondary placement or till-point display for VIMTO in top-20 Convenience accounts by 15 November 2025 — the gap between brand_mean_sales (515.98) and channel_mean_sales (46,055.96) highlights significant untapped category headroom; securing even one additional secondary site per account could meaningfully close this gap and counteract the negative momentum reflected in lag_1 and rolling_mean_4.","• Protect the recent +101.8% momentum spike by securing a minimum 2-facing placement in the top-5 highest-footfall Convenience doors by December 2025 — the forecast collapse to 7 units is driven almost entirely by lag_1 (SHAP=-3.69, reflecting a prior period value of 18.57 that is now pulling the model downward), suggesting a transient dip rather than structural decline; locking in physical presence before December prevents the momentum from being lost to out-of-stock or de-ranging in a channel that currently represents only 1% of brand volume but shows genuine growth signal.

• Stabilise velocity with a focused 2-for-£3 mechanic on VIMTO's core SKU in Convenience for November–December 2025, targeting a floor of 12 units/period — the brand's mid-market price positioning (0.8x category median) means a modest bundle offer is margin-safe and credible, while the extreme volatility (CV=3.13) and weak brand_mean_sales (SHAP=-0.27, value=515.98) indicate that irregular purchase behaviour, not price resistance, is the primary drag; a time-limited mechanic creates a repeat-purchase trigger without repositioning the brand downward.

• Commission a 4-week sell-out tracking pulse across the Convenience channel from November 2025 to validate whether the lag_2 positive signal (SHAP=+0.25, value=2.70) represents an emerging recovery pattern — given high volatility (CV=3.13) and peripheral channel status, a single reorder decision made on lagged data risks either over-stocking a 7-unit forecast or missing a genuine uptick; real-time rate-of-sale data will allow a distribution expansion decision (targeting +2pp numeric distribution) to be made with confidence before Q1 2026 planning locks."
AYYO,CONVENIENCE,2025-09-01,22967.5163609375,10.353609666984994,14.451685582927894,"• Protect and extend distribution weight by +3pp (from 0.63 to ~0.66) in Convenience by end of August 2025 — weighted_dist is the #2 SHAP driver (+0.91) and current penetration at 0.63 leaves meaningful headroom; securing additional convenience doors before September will directly support the forecasted 22,968-unit volume.

• Lock in shelf presence and replenishment agreements with top Convenience accounts by August 2025 to sustain the lag_1 momentum — the strongest forecast driver (SHAP=+1.45, prior month 22,872 units) signals genuine sell-through momentum; ensuring zero out-of-stocks in September is the single highest-leverage action to convert the forecast into actuals.

• Hold promotional spend flat (no incremental activation) for September 2025 — the rolling_mean_13 (SHAP=−0.38, value=19,384) signals the current spike sits above the long-run trend, and channel_mean_sales (SHAP=−0.20, value=46,056) indicates AYYO is already underperforming channel norms; incremental promo investment would be inefficient at this stage, and budget is better reserved for an October push if the rolling mean begins trending upward.","• Lock in distribution gains in Convenience by pushing weighted distribution from 0.63 to at least 0.72 (+9pp) before 2025-09-01 — the forecast's second-strongest driver is weighted_dist (SHAP=+0.91), and AYYO's value-tier pricing (0.6x category median) makes it a natural impulse pick in Convenience; closing the gap to the channel mean (46,056 units vs. AYYO's 22,968) requires shelf presence, not price cuts, and the +33.5% momentum window gives a credible sell-in story to convenience buyers right now.

• Stabilise the volatile demand curve (CV=0.99) by negotiating a fixed promotional calendar with the top-15 Convenience accounts for Q4 2025, anchoring at least 2 planned activation weeks per month — AYYO's high volatility means the current momentum spike (lag_1=22,872, SHAP=+1.45) risks a sharp reversal if unsupported; structured in-store activations (secondary placement, chiller door strips) will convert cyclical peaks into a higher rolling baseline, directly countering the dampening signal from the 13-month mean (SHAP=-0.38, value=19,384).

• Protect volume floor by setting a replenishment trigger at 20,000 units/month in Convenience and pre-positioning safety stock of ~3,000 units at regional DCs by mid-August 2025 — with CV=0.99 and Convenience already representing 50% of brand volume, a demand trough would disproportionately damage AYYO's rank (#30 of 77); the rolling_mean_4 (25,363) sits well above the 13-month mean (19,384), signalling the brand is in an elevated cycle that supply chain must be ready to sustain without stockout-driven distribution losses."
HANCOCK,TOTAL_DISCOUNT,2026-01-01,83312.7025,9.281943457957823,11.361751708085649,"• Protect volume momentum by securing shelf space commitments in TOTAL_DISCOUNT for January 2026 at or above the December 2025 level — lag_1 (SHAP=+2.07, value=107,131 units) is the dominant forecast driver, meaning the January outcome is highly sensitive to the prior month's volume; any distribution losses or de-listings in December will directly compress the 83,313-unit January forecast.

• Lock in promotional calendar for January 2026 with at least 1 planned activation in TOTAL_DISCOUNT, targeting a minimum 5% volume uplift over forecast baseline — rolling_mean_4 (SHAP=+0.62, value=83,339) and brand_mean_sales (SHAP=+0.28, value=99,311) both signal that HANCOCK's structural demand sits well above the 83,313-unit January forecast, indicating seasonal softness (month_cos SHAP=−0.18) is suppressing volume that a timely promo can partially recover; activation brief to be submitted by 1 December 2025.

• Investigate the lag_2 volume dip (SHAP=−0.12, value=65,959 units) to rule out a recurring two-month cyclical trough and adjust replenishment orders for February 2026 downward by ~10–15% relative to January — if the pattern repeats, over-ordering in February risks excess stock in TOTAL_DISCOUNT; procurement targets to be revised by 15 January 2026.","• Defend volume floor with a targeted price-promotion mechanic (e.g. multipack bundle at -10% vs. shelf price) in the top-30 discount doors by March 2026 — the forecast of 83,313 units reflects a sharp sequential decline from lag_1 of 107,131 (≈-22%), compounded by a -13.3% momentum trend; for a value-tier mass-market brand (0.4x category median), price-led activation is the highest-ROI lever to arrest volume erosion in discount, where shoppers are acutely price-sensitive.

• Stabilise assortment to 1–2 core SKUs per store across all discount listings by February 2026, eliminating tail SKUs contributing to high volatility (CV=0.95) — the rolling_mean_4 SHAP of +0.62 anchoring the forecast at ~83,339 units signals that recent erratic swings are averaging down; rationalising to proven movers reduces out-of-stock and over-stock noise, and protects the brand's rank #9 mass-market position from further shelf de-prioritisation by discount buyers.

• Given discount represents only 25% of brand volume (peripheral channel), cap incremental investment here at ≤15% of total trade spend and redirect freed budget to the primary channel by Q1 2026 — the month_cos SHAP of -0.18 flags a seasonal headwind in January, making this a structurally weak period to over-invest in a peripheral channel; stabilise rather than grow discount, and protect the higher-volume base where the brand's mass-market scale (99,310 brand mean sales) can be better leveraged."
EBELTOFT,DVH_EXCL_HD,2025-12-01,3949.123163341787,8.017440958006773,12.058320790936705,"• Investigate and address the distribution gap by targeting a weighted_dist increase from 0.01 to at least 0.10 in DVH_EXCL_HD by November 30, 2025 — weighted_dist is a top-4 SHAP driver (−0.22) and the current value of 0.01 indicates near-zero weighted distribution, which is actively suppressing the December forecast of 3,949 units.

• Leverage the seasonal tailwind by securing shelf placement and retailer agreements for at least 5 additional DVH_EXCL_HD outlets before December 1, 2025 — month_cos (SHAP=+0.28, value=1.00) signals December is a peak seasonal period, meaning distribution gains made now will be amplified by natural demand uplift.

• Stabilize short-term volume momentum by aligning replenishment orders to a lag_1 baseline of ~2,306 units while targeting a recovery toward the 13-week rolling mean of 4,541 units — the gap between lag_1 (+0.43, value=2,305.92) and rolling_mean_13 (−0.49, value=4,541.06) suggests a recent volume dip is dragging the forecast down by roughly 600 units; a targeted trade promotion of 10–15% depth in November 2025 could bridge this gap ahead of the December peak.","• Arrest distribution erosion by securing weighted distribution back above 0.10 in DVH_EXCL_HD within 6 weeks (by mid-January 2026) — weighted_dist is the fourth-largest SHAP driver at -0.22 with a critically low value of 0.01, signalling near-zero active distribution; for a niche brand (rank #46) where DVH_EXCL_HD is 100% of volume, even marginal distribution recovery directly protects the entire revenue base during a -27.3% momentum decline.

• Stabilise velocity in the top-15 highest-volume DVH stores by running a targeted 2-for-1 shelf-placement incentive with retail partners in December 2025 — the rolling_mean_13 (SHAP=-0.49, value=4,541) is pulling the forecast down to 3,949 units, meaning recent structural weakness is baked into the model; a mid-market brand at 1.5x category median has enough margin headroom to fund a short-burst trade incentive without permanent price damage, and acting in December captures the month_cos seasonal uplift (SHAP=+0.28) already present in the forecast.

• Conduct an SKU rationalisation review by end of January 2026, retaining only the 1–2 highest-turning variants in DVH_EXCL_HD — the lag_1 value of 2,305 units versus the 13-week rolling mean of 4,541 confirms a sharp recent volume drop (roughly -49% in the most recent period); for a niche, moderately volatile brand (CV=0.47) with concentrated single-channel exposure, consolidating assortment reduces out-of-stock risk and improves per-SKU facings, which is a higher-ROI lever than broad distribution expansion at this rank and scale."
GUARANA ANARCTICA,TOTAL_DISCOUNT,2025-10-01,3101.6459590509085,8.89580950094387,11.372800208977424,"• Investigate and restore distribution coverage to a minimum of 0.10 weighted distribution weight in TOTAL_DISCOUNT by September 15, 2025 — weighted_dist is a top-5 SHAP driver with a negative impact (SHAP=−0.34) and its current value is 0.00, indicating zero weighted distribution; this alone is likely suppressing forecast volume significantly below the lag_1-implied baseline of ~9,576 units.

• Negotiate a minimum of 3 active SKU listings in TOTAL_DISCOUNT retailers by October 1, 2025 — brand_mean_sales (SHAP=−0.35, value=5,517 units) is dragging the forecast down relative to the lag_1 signal of 9,576 units, suggesting structural underperformance in this channel that requires an assortment reset to close the ~6,474-unit gap between lag_1 and the 3,102-unit forecast.

• Launch a targeted price-promotion mechanic (e.g., 10–15% off-shelf discount) for GUARANA ANTARCTICA in TOTAL_DISCOUNT for October 2025 only — rolling_mean_13 (SHAP=−0.50, value=14,882 units) indicates the 13-week trend is running well above current forecast, suggesting recent volume has declined sharply; a short-burst promotional activation can help recover lost velocity before the trend mean reverts further downward.","• Investigate and restore weighted distribution in TOTAL_DISCOUNT channel to at least 0.10 by October 2025 — the SHAP data shows weighted_dist at 0.00, meaning the brand has effectively zero weighted presence in discount right now, yet discount represents 33% of brand volume; restoring even minimal distribution could recover a meaningful share of the 3,102-unit forecast and capitalise on the +16.8% recent momentum before it stalls.

• Lock in promotional shelf placement (secondary placement or checkout zone) in the top-15 discount outlets by October 2025, targeting a +20% volume uplift to ~3,700 units — GUARANA ANTARCTICA is a value-priced brand (0.8x category median) in a high-CV volatile environment (CV=1.13), making it well-suited to discount channel mechanics; the lag_1 SHAP of +1.00 anchors the forecast heavily on the prior period's strong 9,575-unit reading, so maintaining physical visibility is the single highest-leverage action to prevent the rolling_mean drag (SHAP=-0.50, value=14,882) from pulling volume further downward.

• Stabilise baseline volume by introducing a fixed monthly replenishment agreement with 2–3 key discount chain buyers (e.g. Netto, Rema 1000) before September 2025 — the brand's high volatility (CV=1.13) combined with a brand_mean_sales SHAP of -0.35 signals that inconsistent sell-in is structurally suppressing the forecast baseline; for a niche rank-#38 value brand with growing momentum, reducing supply-side irregularity will convert short-term growth into a durable baseline rather than a spike that reverts."
CARLSBERG SPORT,DVH_EXCL_HD,2026-03-01,3025.8138153602604,11.799231958983,14.808060084003955,"• Investigate and resolve the channel distribution collapse immediately, targeting restoration of weighted_dist from 0.00 to a minimum of 50% of historical baseline by February 1, 2026 — weighted_dist is at 0.00 (SHAP=-0.96) and near-zero distribution is a primary structural driver of the anomalous March 2026 forecast (z=-3.11); without physical availability, no demand recovery is possible.

• Emergency-escalate the lag_1 volume collapse (5 units in February 2026) with the DVH_EXCL_HD channel team, targeting a corrective restock and sell-in order of at least 500 units by January 15, 2026 — lag_1 is the dominant negative driver (SHAP=-4.10, value=5.00), indicating a near-total demand or supply disruption in the prior month that will mechanically suppress the March forecast unless reversed before the period opens.

• Activate a short-term promotional push (minimum 20% trade discount or feature placement) for CARLSBERG SPORT in DVH_EXCL_HD for February–March 2026 — rolling_mean_4 has collapsed to 11.25 units (SHAP=-0.91) versus rolling_mean_13 of 1,683 units (SHAP=-0.39), confirming a sharp recent demand shock inconsistent with long-run brand performance; a targeted promo stimulus is needed to rebuild velocity and reset the short-term trend inputs before Q2 2026.","• Conduct an emergency distribution audit across all DVH_EXCL_HD outlets by 2026-01-15, targeting restoration of weighted distribution to at least 40% coverage — the near-zero weighted_dist (SHAP=-0.96) combined with a lag_1 collapse to just 5 units signals a near-total channel delisting or supply failure, not organic demand decline; given DVH_EXCL_HD represents 64% of CARLSBERG SPORT's total volume, every week of zero distribution directly compounds the -98.8% momentum deterioration and risks permanent shelf-space loss to competitors.

• Negotiate reinstatement of a minimum 2-facing shelf presence in the top-30 DVH_EXCL_HD volume stores before the 2026-03-01 forecast period, paired with a short-term 10% trade price incentive to buyers — as a mid-market brand (1.0x category median, rank #19) with high volatility (CV=0.77), CARLSBERG SPORT cannot rely on premium equity to hold space passively; a modest trade incentive is a lower-risk lever than deep consumer promo, and restoring physical availability is the single highest-impact action given weighted_dist is the second-largest negative SHAP driver (-0.96) after the lag collapse.

• Stabilise the demand signal by securing a forward purchase commitment or promotional feature (e.g. a 2-week off-shelf display) with at least 3 key DVH accounts in February 2026, targeting a lag_1 recovery to ≥500 units entering March — the rolling_mean_4 of only 11.25 units (SHAP=-0.91) shows the collapse has persisted across multiple weeks, meaning the March forecast of 3,026 units is structurally fragile and contingent on breaking the low-volume feedback loop before month-end; for a volatile mid-tier brand, a single confirmed activation can disproportionately shift the short-term trajectory."
